fabdisp_multicast_aggr_0, 0x00371020
fabdisp_pulse_aggr_0, 0x00371000
hsios_multicast_aggr_2, 0x00272040
hsios_multicast_aggr_3, 0x00272060
hsios_pulse_aggr_2, 0x00272000
hsios_pulse_aggr_3, 0x00272020
gsa_multicast_aggr_1, 0x1a020
gsa_pulse_aggr_2, 0x1a000
gsa_level_aggr_1, 0x1a040
fabstby_multicast_aggr_0, 0x00371020
fabstby_multicast_aggr_1, 0x00371040
fabstby_pulse_aggr_0, 0x00371000
fabstby_level_aggr_0, 0x00371060
lsios_multicast_aggr_1, 0x000d2020
lsios_multicast_aggr_2, 0x000d2040
lsios_multicast_aggr_3, 0x000d2060
lsios_multicast_aggr_4, 0x000d2080
lsios_pulse_aggr_1, 0x000d2000
fabhbw_multicast_aggr_0, 0x00371020
fabhbw_multicast_aggr_1, 0x00371040
fabhbw_pulse_aggr_0, 0x00371000
fabhbw_level_aggr_0, 0x00371060
fabsyss_multicast_aggr_0, 0x00371020
fabsyss_pulse_aggr_0, 0x00371000
fabsyss_level_aggr_0, 0x00371040
cpuacc_pulse_aggr_0, 0x001c2000
cpuacc_multicast_aggr_6, 0x001c2020
cpuacc_multicast_aggr_16, 0x001c6000
cpuacc_multicast_aggr_17, 0x001c7000
cpuacc_multicast_aggr_18, 0x001c8000
cpuacc_multicast_aggr_19, 0x001c9000
cpuacc_multicast_aggr_20, 0x001ca000
hsion_multicast_aggr_4, 0x001cd040
hsion_multicast_aggr_5, 0x001cd060
hsion_multicast_aggr_6, 0x001cd080
hsion_pulse_aggr_2, 0x001cd000
hsion_pulse_aggr_3, 0x001cd020
hsion_level_aggr_1, 0x001cd0a0
memss_multicast_aggr_2, 0x00402020
memss_pulse_aggr_1, 0x00402000
memss_level_aggr_1, 0x00402040
fabmed_multicast_aggr_0, 0x00371020
fabmed_pulse_aggr_0, 0x00371000
gpu_multicast_aggr_5, 0x00096020
gpu_pulse_aggr_1, 0x00096000
gpcm_amb_multicast_aggr_3, 0x00044000
gmc_multicast_aggr_1, 0x01272020
gmc_pulse_aggr_3, 0x01272000
gpcm_infra_multicast_aggr_3, 0x00044000
lsioe_multicast_aggr_1, 0x000d2020
lsioe_multicast_aggr_2, 0x000d2040
lsioe_pulse_aggr_1, 0x000d2000
cpu_multicast_aggr_0, 0x1012d020
cpu_pulse_aggr_0, 0x1012d000
pcie_multicast_aggr_3, 0x001b0040
pcie_multicast_aggr_4, 0x001b0060
pcie_multicast_aggr_5, 0x001b0080
pcie_pulse_aggr_2, 0x001b0000
pcie_pulse_aggr_3, 0x001b0020
pcie_level_aggr_1, 0x001b00a0
gpca_multicast_aggr_1, 0x00070020
gpca_pulse_aggr_1, 0x00070000
tpu_multicast_aggr_0, 0x00311020
tpu_pulse_aggr_0, 0x00311000
tpu_level_aggr_0, 0x00311040
gdmc_multicast_aggr_1, 0x004a1100
gdmc_pulse_aggr_1, 0x004a1000
